"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 2 Constant Growback.nlogo"
"experiment"
"02/21/2021 18:10:12:279 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean-of-vision","mean-of-metabolism","mean [metabolism] of turtles","mean [vision] of turtles","(count turtles) / (initial-population)","(count good_vision_turtles) / (initial-population)","(count good_metabolism_turtles) / (initial-population)","(count bad_vision_turtles) / (initial-population)","(count bad_metabolism_turtles) / (initial-population)"
"99","no-visualization","180","100","97","3.577777777777778","2.7555555555555555","2.0103092783505154","3.8247422680412373","0.5388888888888889","0.3111111111111111","0.3611111111111111","0.22777777777777777","0.17777777777777778"
"102","no-visualization","200","100","112","3.51","2.58","1.8928571428571428","3.767857142857143","0.56","0.34","0.39","0.22","0.17"
"104","no-visualization","200","100","129","3.47","2.425","1.8604651162790697","3.62015503875969","0.645","0.36","0.45","0.285","0.195"
"103","no-visualization","200","100","134","3.645","2.4","1.9104477611940298","3.8805970149253732","0.67","0.4","0.485","0.27","0.185"
"105","no-visualization","200","100","122","3.495","2.575","1.9836065573770492","3.8360655737704916","0.61","0.345","0.415","0.265","0.195"
"106","no-visualization","200","100","111","3.57","2.655","1.972972972972973","3.6576576576576576","0.555","0.305","0.385","0.25","0.17"
"107","no-visualization","200","100","120","3.435","2.54","1.8666666666666667","3.5083333333333333","0.6","0.3","0.465","0.3","0.135"
"108","no-visualization","200","100","124","3.535","2.505","1.9516129032258065","3.9596774193548385","0.62","0.405","0.41","0.215","0.21"
"110","no-visualization","200","100","134","3.455","2.405","1.8805970149253732","3.485074626865672","0.67","0.325","0.465","0.345","0.205"
"109","no-visualization","200","100","113","3.385","2.54","1.8849557522123894","3.47787610619469","0.565","0.265","0.405","0.3","0.16"
"111","no-visualization","200","100","127","3.615","2.485","1.8661417322834646","3.7559055118110236","0.635","0.36","0.455","0.275","0.18"
"112","no-visualization","200","100","137","3.655","2.42","1.9708029197080292","3.7737226277372264","0.685","0.395","0.475","0.29","0.21"
"114","no-visualization","200","100","116","3.64","2.67","2.1293103448275863","3.689655172413793","0.58","0.34","0.35","0.24","0.23"
"113","no-visualization","200","100","113","3.55","2.57","1.9380530973451326","3.7787610619469025","0.565","0.335","0.39","0.23","0.175"
"115","no-visualization","200","100","127","3.45","2.52","1.952755905511811","3.7559055118110236","0.635","0.35","0.45","0.285","0.185"
"116","no-visualization","200","100","136","3.63","2.41","1.8897058823529411","3.676470588235294","0.68","0.38","0.475","0.3","0.205"
"117","no-visualization","200","100","120","3.495","2.58","2.0833333333333335","3.7583333333333333","0.6","0.34","0.395","0.26","0.205"
"120","no-visualization","200","100","122","3.335","2.45","1.8278688524590163","3.69672131147541","0.61","0.335","0.455","0.275","0.155"
"119","no-visualization","200","100","133","3.645","2.4","1.8646616541353382","3.8421052631578947","0.665","0.4","0.48","0.265","0.185"
"118","no-visualization","200","100","128","3.525","2.495","1.9453125","3.7421875","0.64","0.35","0.435","0.29","0.205"
"121","no-visualization","220","100","132","3.5454545454545454","2.522727272727273","1.8863636363636365","3.8181818181818183","0.6","0.33636363636363636","0.4409090909090909","0.2636363636363636","0.1590909090909091"
"122","no-visualization","220","100","131","3.6045454545454545","2.6545454545454548","2.053435114503817","3.732824427480916","0.5954545454545455","0.31363636363636366","0.36818181818181817","0.2818181818181818","0.22727272727272727"
"123","no-visualization","220","100","133","3.359090909090909","2.4954545454545456","1.8646616541353382","3.6315789473684212","0.6045454545454545","0.33181818181818185","0.4590909090909091","0.2727272727272727","0.14545454545454545"
"124","no-visualization","220","100","134","3.559090909090909","2.5727272727272728","2.037313432835821","3.783582089552239","0.6090909090909091","0.33181818181818185","0.39090909090909093","0.2772727272727273","0.21818181818181817"
"125","no-visualization","220","100","139","3.5681818181818183","2.4909090909090907","1.870503597122302","3.7338129496402876","0.6318181818181818","0.37272727272727274","0.4636363636363636","0.2590909090909091","0.16818181818181818"
"126","no-visualization","220","100","125","3.536363636363636","2.6272727272727274","1.936","3.84","0.5681818181818182","0.32727272727272727","0.36818181818181817","0.2409090909090909","0.2"
"127","no-visualization","220","100","126","3.2227272727272727","2.5727272727272728","1.9444444444444444","3.6031746031746033","0.5727272727272728","0.32272727272727275","0.40454545454545454","0.25","0.16818181818181818"
"129","no-visualization","220","100","137","3.5727272727272728","2.4954545454545456","1.9124087591240877","3.8248175182481754","0.6227272727272727","0.33181818181818185","0.44545454545454544","0.2909090909090909","0.17727272727272728"
"128","no-visualization","220","100","129","3.422727272727273","2.540909090909091","1.8604651162790697","3.496124031007752","0.5863636363636363","0.2909090909090909","0.42727272727272725","0.29545454545454547","0.1590909090909091"
"131","no-visualization","220","100","136","3.327272727272727","2.459090909090909","1.911764705882353","3.5588235294117645","0.6181818181818182","0.32272727272727275","0.43636363636363634","0.29545454545454547","0.18181818181818182"
"130","no-visualization","220","100","140","3.463636363636364","2.4727272727272727","1.8785714285714286","3.6857142857142855","0.6363636363636364","0.35454545454545455","0.4681818181818182","0.2818181818181818","0.16818181818181818"
"132","no-visualization","220","100","146","3.55","2.3727272727272726","1.8493150684931507","3.6575342465753424","0.6636363636363637","0.37272727272727274","0.4954545454545455","0.2909090909090909","0.16818181818181818"
"133","no-visualization","220","100","134","3.7181818181818183","2.5318181818181817","1.9776119402985075","3.925373134328358","0.6090909090909091","0.36818181818181817","0.4318181818181818","0.2409090909090909","0.17727272727272728"
"135","no-visualization","220","100","119","3.231818181818182","2.6136363636363638","1.773109243697479","3.596638655462185","0.5409090909090909","0.2727272727272727","0.4090909090909091","0.2681818181818182","0.1318181818181818"
"134","no-visualization","220","100","140","3.5545454545454547","2.4863636363636363","1.9428571428571428","3.8714285714285714","0.6363636363636364","0.36818181818181817","0.4590909090909091","0.2681818181818182","0.17727272727272728"
"136","no-visualization","220","100","127","3.5136363636363637","2.5454545454545454","1.8818897637795275","3.7874015748031495","0.5772727272727273","0.31363636363636366","0.42727272727272725","0.2636363636363636","0.15"
"138","no-visualization","220","100","139","3.5090909090909093","2.5954545454545452","2.0863309352517985","3.697841726618705","0.6318181818181818","0.35","0.38636363636363635","0.2818181818181818","0.24545454545454545"
"137","no-visualization","220","100","136","3.7590909090909093","2.55","1.963235294117647","3.875","0.6181818181818182","0.35909090909090907","0.43636363636363634","0.2590909090909091","0.18181818181818182"
