"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 1 Immediate Growback.nlogo"
"experiment"
"02/21/2021 18:07:35:693 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean-of-vision","mean-of-metabolism","mean [metabolism] of turtles","mean [vision] of turtles","(count turtles) / (initial-population)","(count good_vision_turtles) / (initial-population)","(count good_metabolism_turtles) / (initial-population)","(count bad_vision_turtles) / (initial-population)","(count bad_metabolism_turtles) / (initial-population)"
"13","no-visualization","340","100","202","3.5676470588235296","2.6176470588235294","2.1633663366336635","3.8217821782178216","0.5941176470588235","0.3588235294117647","0.39705882352941174","0.23529411764705882","0.19705882352941176"
"14","no-visualization","360","100","208","3.2694444444444444","2.5","1.9759615384615385","3.5384615384615383","0.5777777777777777","0.2972222222222222","0.41944444444444445","0.28055555555555556","0.15833333333333333"
"15","no-visualization","380","100","237","3.528947368421053","2.481578947368421","1.8987341772151898","3.721518987341772","0.6236842105263158","0.3394736842105263","0.46578947368421053","0.28421052631578947","0.15789473684210525"
"16","no-visualization","400","100","241","3.5125","2.52","2.0622406639004147","3.7219917012448134","0.6025","0.3225","0.4","0.28","0.2025"
"17","no-visualization","420","100","263","3.511904761904762","2.5214285714285714","2.0342205323193916","3.7490494296577945","0.6261904761904762","0.3523809523809524","0.42857142857142855","0.27380952380952384","0.1976190476190476"
"18","no-visualization","440","100","275","3.411363636363636","2.565909090909091","2.061818181818182","3.618181818181818","0.625","0.33636363636363636","0.42045454545454547","0.28863636363636364","0.20454545454545456"
"19","no-visualization","460","100","288","3.4956521739130433","2.4695652173913043","1.9340277777777777","3.6979166666666665","0.6260869565217392","0.33695652173913043","0.44782608695652176","0.2891304347826087","0.1782608695652174"
"20","no-visualization","480","100","293","3.472916666666667","2.5","1.976109215017065","3.6928327645051193","0.6104166666666667","0.32083333333333336","0.43333333333333335","0.28958333333333336","0.17708333333333334"
"1","no-visualization","100","100","61","3.57","2.48","1.9672131147540983","3.7868852459016393","0.61","0.35","0.42","0.26","0.19"
"21","no-visualization","500","100","307","3.552","2.564","2.0846905537459284","3.8306188925081432","0.614","0.354","0.416","0.26","0.198"
"22","no-visualization","520","100","347","3.4846153846153847","2.4384615384615387","1.956772334293948","3.711815561959654","0.6673076923076923","0.3730769230769231","0.49038461538461536","0.29423076923076924","0.17692307692307693"
"23","no-visualization","540","100","338","3.401851851851852","2.47962962962963","1.9644970414201184","3.710059171597633","0.6259259259259259","0.34444444444444444","0.43703703703703706","0.2814814814814815","0.18888888888888888"
"24","no-visualization","560","100","341","3.5267857142857144","2.4875","1.9120234604105573","3.7419354838709675","0.6089285714285714","0.34285714285714286","0.4517857142857143","0.26607142857142857","0.15714285714285714"
"25","no-visualization","580","100","352","3.537931034482759","2.56551724137931","2.0625","3.7869318181818183","0.6068965517241379","0.35172413793103446","0.4241379310344828","0.25517241379310346","0.18275862068965518"
"26","no-visualization","600","100","358","3.52","2.645","2.1284916201117317","3.7793296089385473","0.5966666666666667","0.3333333333333333","0.3933333333333333","0.2633333333333333","0.20333333333333334"
"27","no-visualization","620","100","385","3.564516129032258","2.509677419354839","2.038961038961039","3.794805194805195","0.6209677419354839","0.3596774193548387","0.4435483870967742","0.26129032258064516","0.1774193548387097"
"29","no-visualization","660","100","397","3.5090909090909093","2.5787878787878786","2.0327455919395465","3.712846347607053","0.6015151515151516","0.3333333333333333","0.42727272727272725","0.2681818181818182","0.17424242424242425"
"28","no-visualization","640","100","398","3.559375","2.5234375","2.0025125628140703","3.851758793969849","0.621875","0.3828125","0.4578125","0.2390625","0.1640625"
"30","no-visualization","680","100","432","3.4808823529411765","2.4558823529411766","1.9583333333333333","3.775462962962963","0.6352941176470588","0.3588235294117647","0.4455882352941177","0.27647058823529413","0.18970588235294117"
"31","no-visualization","700","100","436","3.597142857142857","2.53","2.0344036697247705","3.791284403669725","0.6228571428571429","0.35428571428571426","0.42428571428571427","0.26857142857142857","0.19857142857142857"
"32","no-visualization","720","100","436","3.5305555555555554","2.5027777777777778","2.0045871559633026","3.830275229357798","0.6055555555555555","0.3458333333333333","0.43472222222222223","0.25972222222222224","0.17083333333333334"
"33","no-visualization","740","100","448","3.3364864864864865","2.481081081081081","1.9553571428571428","3.627232142857143","0.6054054054054054","0.3256756756756757","0.44324324324324327","0.2797297297297297","0.16216216216216217"
