[run number],visualization,initial-population,[step],count turtles,mean-of-vision,mean-of-metabolism,mean [metabolism] of turtles,mean [vision] of turtles,(count turtles) / (initial-population),(count good_vision_turtles) / (initial-population),(count good_metabolism_turtles) / (initial-population),(count bad_vision_turtles) / (initial-population),(count bad_metabolism_turtles) / (initial-population)
704,no-visualization,800,100,361,3.45125,2.49375,1.470914127,3.590027701,0.45125,0.24875,0.45,0.2025,0.00125
703,no-visualization,800,100,381,3.48,2.495,1.538057743,3.556430446,0.47625,0.2575,0.46875,0.21875,0.0075
705,no-visualization,800,100,354,3.4575,2.545,1.548022599,3.548022599,0.4425,0.22875,0.42375,0.21375,0.01875
706,no-visualization,800,100,360,3.535,2.5425,1.522222222,3.583333333,0.45,0.235,0.44375,0.215,0.00625
707,no-visualization,800,100,347,3.475,2.53625,1.541786744,3.582132565,0.43375,0.2225,0.42875,0.21125,0.005
708,no-visualization,800,100,356,3.49375,2.52875,1.533707865,3.72752809,0.445,0.25625,0.435,0.18875,0.01
709,no-visualization,800,100,350,3.4525,2.51125,1.505714286,3.685714286,0.4375,0.23875,0.43,0.19875,0.0075
710,no-visualization,800,100,359,3.535,2.51875,1.506963788,3.690807799,0.44875,0.24375,0.435,0.205,0.01375
711,no-visualization,800,100,363,3.46125,2.495,1.515151515,3.595041322,0.45375,0.2275,0.45,0.22625,0.00375
712,no-visualization,800,100,344,3.46125,2.56,1.520348837,3.668604651,0.43,0.23875,0.41625,0.19125,0.01375
713,no-visualization,800,100,368,3.5475,2.45875,1.475543478,3.736413043,0.46,0.255,0.45875,0.205,0.00125
714,no-visualization,800,100,350,3.40375,2.545,1.514285714,3.534285714,0.4375,0.225,0.4275,0.2125,0.01
715,no-visualization,800,100,367,3.46625,2.48,1.51226158,3.550408719,0.45875,0.24125,0.45125,0.2175,0.0075
716,no-visualization,800,100,324,3.51875,2.62,1.484567901,3.774691358,0.405,0.24375,0.39875,0.16125,0.00625
718,no-visualization,800,100,346,3.41375,2.5425,1.505780347,3.580924855,0.4325,0.22875,0.42125,0.20375,0.01125
717,no-visualization,800,100,354,3.58375,2.4975,1.488700565,3.895480226,0.4425,0.26375,0.43875,0.17875,0.00375
719,no-visualization,800,100,358,3.47625,2.46875,1.472067039,3.597765363,0.4475,0.23375,0.44375,0.21375,0.00375
721,no-visualization,820,100,377,3.537804878,2.479268293,1.445623342,3.721485411,0.459756098,0.264634146,0.459756098,0.195121951,0
722,no-visualization,820,100,363,3.55,2.497560976,1.44077135,3.776859504,0.442682927,0.256097561,0.437804878,0.186585366,0.004878049
720,no-visualization,800,100,347,3.44375,2.50625,1.449567723,3.628242075,0.43375,0.2325,0.4325,0.20125,0.00125
723,no-visualization,820,100,361,3.552439024,2.568292683,1.520775623,3.653739612,0.440243902,0.229268293,0.431707317,0.21097561,0.008536585
724,no-visualization,820,100,389,3.604878049,2.465853659,1.457583548,3.758354756,0.474390244,0.269512195,0.474390244,0.204878049,0
726,no-visualization,820,100,365,3.408536585,2.52195122,1.484931507,3.564383562,0.445121951,0.237804878,0.42804878,0.207317073,0.017073171
725,no-visualization,820,100,373,3.543902439,2.446341463,1.469168901,3.721179625,0.454878049,0.246341463,0.452439024,0.208536585,0.002439024
727,no-visualization,820,100,369,3.503658537,2.437804878,1.460704607,3.647696477,0.45,0.247560976,0.445121951,0.202439024,0.004878049
729,no-visualization,820,100,350,3.509756098,2.548780488,1.46,3.648571429,0.426829268,0.223170732,0.424390244,0.203658537,0.002439024
728,no-visualization,820,100,365,3.504878049,2.529268293,1.517808219,3.619178082,0.445121951,0.234146341,0.440243902,0.21097561,0.004878049
730,no-visualization,820,100,381,3.568292683,2.501219512,1.485564304,3.606299213,0.464634146,0.246341463,0.46097561,0.218292683,0.003658537
731,no-visualization,820,100,356,3.47804878,2.480487805,1.469101124,3.615168539,0.434146341,0.229268293,0.431707317,0.204878049,0.002439024
732,no-visualization,820,100,374,3.470731707,2.48902439,1.50802139,3.636363636,0.456097561,0.252439024,0.456097561,0.203658537,0
733,no-visualization,820,100,368,3.474390244,2.463414634,1.491847826,3.565217391,0.448780488,0.213414634,0.445121951,0.235365854,0.003658537
734,no-visualization,820,100,370,3.38902439,2.453658537,1.440540541,3.42972973,0.451219512,0.218292683,0.45,0.232926829,0.001219512
735,no-visualization,820,100,372,3.520731707,2.504878049,1.478494624,3.591397849,0.453658537,0.23902439,0.453658537,0.214634146,0
736,no-visualization,820,100,366,3.52195122,2.482926829,1.5,3.737704918,0.446341463,0.245121951,0.442682927,0.201219512,0.003658537
737,no-visualization,820,100,387,3.437804878,2.423170732,1.496124031,3.563307494,0.47195122,0.245121951,0.47195122,0.226829268,0
739,no-visualization,820,100,391,3.495121951,2.436585366,1.468030691,3.641943734,0.476829268,0.251219512,0.47195122,0.225609756,0.004878049
738,no-visualization,820,100,390,3.565853659,2.443902439,1.446153846,3.638461538,0.475609756,0.264634146,0.475609756,0.21097561,0
740,no-visualization,820,100,384,3.436585366,2.465853659,1.486979167,3.606770833,0.468292683,0.237804878,0.467073171,0.230487805,0.001219512
741,no-visualization,840,100,363,3.5,2.516666667,1.476584022,3.608815427,0.432142857,0.222619048,0.426190476,0.20952381,0.005952381
742,no-visualization,840,100,378,3.46547619,2.467857143,1.465608466,3.616402116,0.45,0.24047619,0.442857143,0.20952381,0.007142857
744,no-visualization,840,100,355,3.485714286,2.541666667,1.501408451,3.676056338,0.422619048,0.235714286,0.411904762,0.186904762,0.010714286
743,no-visualization,840,100,386,3.51547619,2.420238095,1.458549223,3.727979275,0.45952381,0.26547619,0.45952381,0.194047619,0
745,no-visualization,840,100,373,3.471428571,2.501190476,1.477211796,3.624664879,0.444047619,0.23452381,0.442857143,0.20952381,0.001190476
746,no-visualization,840,100,367,3.385714286,2.49047619,1.457765668,3.583106267,0.436904762,0.222619048,0.43452381,0.214285714,0.002380952
747,no-visualization,840,100,358,3.46547619,2.536904762,1.48603352,3.642458101,0.426190476,0.23452381,0.423809524,0.191666667,0.002380952
748,no-visualization,840,100,385,3.4,2.476190476,1.480519481,3.501298701,0.458333333,0.229761905,0.452380952,0.228571429,0.005952381
749,no-visualization,840,100,370,3.40952381,2.513095238,1.489189189,3.413513514,0.44047619,0.214285714,0.438095238,0.226190476,0.002380952
750,no-visualization,840,100,354,3.458333333,2.563095238,1.542372881,3.644067797,0.421428571,0.229761905,0.413095238,0.191666667,0.008333333
751,no-visualization,840,100,391,3.454761905,2.438095238,1.445012788,3.667519182,0.46547619,0.251190476,0.46547619,0.214285714,0
753,no-visualization,840,100,366,3.486904762,2.529761905,1.49726776,3.677595628,0.435714286,0.23452381,0.429761905,0.201190476,0.005952381
752,no-visualization,840,100,383,3.482142857,2.460714286,1.475195822,3.61618799,0.455952381,0.255952381,0.455952381,0.2,0
754,no-visualization,840,100,378,3.454761905,2.436904762,1.404761905,3.489417989,0.45,0.23452381,0.447619048,0.21547619,0.002380952
756,no-visualization,840,100,351,3.458333333,2.558333333,1.524216524,3.737891738,0.417857143,0.23452381,0.402380952,0.183333333,0.01547619
755,no-visualization,840,100,384,3.533333333,2.501190476,1.510416667,3.6015625,0.457142857,0.239285714,0.455952381,0.217857143,0.001190476
757,no-visualization,840,100,386,3.430952381,2.479761905,1.487046632,3.595854922,0.45952381,0.230952381,0.457142857,0.228571429,0.002380952
758,no-visualization,840,100,387,3.455952381,2.447619048,1.431524548,3.656330749,0.460714286,0.25,0.460714286,0.210714286,0
759,no-visualization,840,100,357,3.530952381,2.59047619,1.523809524,3.546218487,0.425,0.217857143,0.413095238,0.207142857,0.011904762
760,no-visualization,840,100,377,3.426190476,2.48452381,1.482758621,3.559681698,0.448809524,0.235714286,0.447619048,0.213095238,0.001190476
761,no-visualization,860,100,362,3.525581395,2.530232558,1.46961326,3.682320442,0.420930233,0.229069767,0.420930233,0.191860465,0
762,no-visualization,860,100,381,3.505813953,2.502325581,1.475065617,3.632545932,0.443023256,0.238372093,0.440697674,0.204651163,0.002325581
763,no-visualization,860,100,385,3.573255814,2.488372093,1.493506494,3.672727273,0.447674419,0.239534884,0.447674419,0.208139535,0
764,no-visualization,860,100,381,3.569767442,2.495348837,1.49343832,3.742782152,0.443023256,0.248837209,0.441860465,0.194186047,0.001162791
765,no-visualization,860,100,379,3.489534884,2.45,1.437994723,3.622691293,0.440697674,0.229069767,0.440697674,0.211627907,0
766,no-visualization,860,100,382,3.593023256,2.491860465,1.486910995,3.793193717,0.444186047,0.258139535,0.434883721,0.186046512,0.009302326
767,no-visualization,860,100,364,3.548837209,2.541860465,1.453296703,3.604395604,0.423255814,0.231395349,0.422093023,0.191860465,0.001162791
768,no-visualization,860,100,394,3.587209302,2.48372093,1.472081218,3.588832487,0.458139535,0.241860465,0.458139535,0.21627907,0
